patch_id,timestamp,raw_s2,proc_s2,ndvi,ndwi,building,road,raw_s1,proc_s1,dem,slope
patch_00032_5925311e,2018-06-29T22:01:25+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2018-06-30T21:52:23+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2018-07-03T10:41:16+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2018-07-06T21:53:00+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2018-07-09T10:40:31+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2018-07-11T22:01:26+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2018-07-12T02:40:14.356000+00:00,1,1,1,1,0,0,0,0,1,1
patch_00032_5925311e,2018-07-12T21:52:24+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2018-07-15T10:41:16+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2018-07-18T21:53:01+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2018-07-21T10:40:52+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2018-07-23T22:01:27+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2018-07-24T21:52:25+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2018-07-27T02:40:16.549000+00:00,1,1,1,1,0,0,0,0,1,1
patch_00032_5925311e,2018-07-27T10:41:17+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2018-07-30T21:53:02+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2018-08-02T10:40:33+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2018-08-04T22:01:27+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2018-08-05T21:52:25+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2018-08-08T10:41:18+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2018-08-11T21:53:02+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2018-08-14T10:40:34+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2018-08-16T22:01:28+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2018-08-17T21:52:26+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2018-08-20T10:41:18+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2018-08-21T02:40:08.564000+00:00,1,1,1,1,0,0,0,0,1,1
patch_00032_5925311e,2018-08-23T21:53:03+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2018-08-26T10:40:34+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2018-08-29T21:52:27+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2018-09-01T10:41:19+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2018-09-04T21:53:04+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2018-09-09T22:01:29+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2018-09-10T21:52:27+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2018-09-13T10:41:20+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2018-09-16T21:53:04+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2018-09-21T22:01:30+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2018-09-22T21:52:27+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2018-09-25T02:40:11.367000+00:00,1,1,1,1,0,0,0,0,1,1
patch_00032_5925311e,2018-09-25T10:41:20+00:00,0,0,1,1,0,0,1,1,1,1
